function	1103_V2_D1_pb	1103_V6_D29_pb	2103_V2_D1_pb	2103_V6_D29_pb	2202_V2_D1_pb	2202_V5_D22_pb	3204_V2_D1_pb	3204_V6_D29_pb	3216_V2_D1_pb	3216_V6_D29_pb	3218_V2_D1_pb
EC:7.2.1.1	148	365	680	454	27	462	10	21	50	39	646
EC:7.2.4.1	1487	1087	2232	1749	580	1487	1120	1235	728	429	1440
EC:7.3.2.1	1507	832	1368	1317	887	826	1172	1114	672	1119	1001
EC:7.4.2.1	2280	1017	2243	2006	1575	1111	1871	1763	1142	1622	1347
EC:7.5.2.1	3	2	0	0	1	0	0	0	0	0	0
EC:7.6.2.1	0	3	0	0	0	0	0	0	0	0	0
EC:1.1.1.2	307	202	180	278	101	84	79	123	117	114	77
EC:1.1.3.2	36	17	0	0	0	0	4	6	0	0	0
EC:1.1.5.2	45	21	0	0	3	0	18	4	0	0	0
EC:1.1.99.2	1	1	1	0	0	0	0	0	0	0	0
EC:1.2.4.2	90	45	3	2	5	21	7	40	2	0	23
EC:1.3.5.2	155	48	242	257	181	125	132	112	90	242	229
EC:1.4.1.2	57	23	4	5	1	14	11	12	0	1	9
EC:1.4.4.2	515	275	170	109	13	188	56	147	14	15	287
EC:1.5.1.2	957	659	946	852	518	529	721	596	394	599	775
EC:1.5.5.2	0	0	3	0	0	0	0	0	1	0	7
EC:1.5.98.2	0	0	0	0	0	0	0	0	23	86	0
EC:1.6.5.2	117	63	64	24	23	16	35	25	40	3	10
EC:1.7.2.2	55	64	73	70	16	182	34	38	11	7	192
EC:1.7.7.2	0	0	0	0	0	0	4	2	0	2	0
EC:1.8.1.2	31	15	0	0	2	16	14	40	0	0	6
EC:1.8.5.2	0	1	10	7	3	29	2	3	2	2	32
EC:1.8.99.2	626	359	641	570	226	238	624	543	162	72	261
EC:1.12.7.2	424	153	358	189	62	148	519	424	47	8	133
EC:1.12.98.2	0	0	0	0	0	0	0	0	12	83	0
EC:1.13.11.2	1	4	4	1	3	0	2	5	6	0	1
