ASV	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29	taxonomy
6d1e2e83527e8b958809de083729b6db	0	0	0	0	16	0	0	0	0	0	6	16	k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter; s__
6e68d3873eb052ed4a4c880b2b858e2a	0	0	0	0	0	0	38	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Abiotrophia; s__
4cc835d67b5ea24fc22433a160b251c7	0	0	0	0	0	0	0	0	37	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
a5263af1fc029ff4e2bf4444c0c4ce9d	0	0	0	0	0	0	0	37	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__producta
e31cd5d5ce577bf2d706b524caceb689	0	0	0	0	6	5	0	0	11	0	4	11	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
04be702b895fe5ed0568344daf564276	0	0	0	0	0	0	23	0	13	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus
37020b47521b3745084f867b8c1f7bc3	0	0	0	0	0	0	0	0	0	18	3	15	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis
63d749cf39d32ae2489911b08d0e0fcd	0	0	0	0	0	35	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
89021a1d695afd19d0158179aa9d1b5e	0	0	0	0	0	0	0	0	35	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
97c08ea0e9893a64b2446ff280ac9787	0	0	0	0	0	35	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
e1ca7fe4f8ddef6f0bcc8e71354e175b	0	0	0	0	0	0	35	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
e2b0e6b66d29b10e97f81da8b8bceb16	35	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
81faaa92f5dd84af2143b671a9514426	0	0	0	0	0	0	0	34	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
2ab424bb8819d10f58e3059611aeb88c	0	0	0	0	0	33	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__symbiosum
59c755ebd91fb82876df4ab11bda8854	0	0	0	0	0	0	33	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__anginosus
7862462431c2d710680a356852bbcafa	0	0	0	0	10	18	0	0	0	0	0	5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Anaerococcus; s__
c533a557f90737bbc8bccbbc981a8c63	0	0	0	0	0	33	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
d6d70ee8797863743fabbeb5a35dd21d	0	0	0	0	0	0	0	0	0	27	6	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
6ef28c1fc58a5d1ad79cb3ce29aac62f	0	0	0	7	0	0	0	0	0	0	0	25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
88054ec4fd56a26d9a396648e6a25e9e	0	0	0	0	32	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
5c7cd4afe047a1fa454b6a815a951c2f	0	0	0	0	0	0	31	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__dispar
97cb47fb9f191760621115e291180516	31	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia
d08356dd9f482bb52a98464042add8e1	0	0	0	0	0	0	0	0	0	0	31	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
355f538130a7284be63b1658e5edea94	0	0	0	0	0	0	0	0	6	24	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
7273e6e8aa6719554d6b5933b1ee6f56	0	0	0	22	0	0	0	0	8	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
2a3acd230d5f3b3b6dc748dfc774e9b8	0	0	9	20	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
571d1a0b0be4207e7f8c8f772047a11f	0	0	0	0	8	5	0	0	16	0	0	0	k__Bacteria; p__TM7; c__TM7-3; o__; f__; g__; s__
78c2b8e06a58a133919d9e5fd0cd2da1	7	0	0	0	0	22	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi
a09c0e8c314bd987a8c6f60a358f141d	0	29	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
b8019c5e1a2192d0dbe04d2e6e7c8554	29	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
0728e4b97d855a44163697d5ab696019	28	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
36b01f762b37ea7169701fe73614f506	0	0	18	10	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
4ec189ed638989a4944b01ddff111968	0	3	0	0	0	25	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__
74b3d90455ee6ba664c9524457ce2854	0	0	0	0	0	0	0	0	0	28	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
802129d15b0258620ed3c335949378c4	0	0	0	28	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
