taxlevel	rankID	taxon	daughterlevels	total	1103_V2_D1_CTAB_DNA	1103_V2_D1_PowerFecal_DNA	1103_V2_D1_R1	1103_V2_D1_R2	1103_V6_D29_CTAB_DNA	1103_V6_D29_PowerFecal_DNA	1103_V6_D29_R1	1103_V6_D29_R2	2103_V2_D1_CTAB_DNA	2103_V2_D1_PowerFecal_DNA	2103_V2_D1_R1	2103_V2_D1_R2	2103_V6_D29_CTAB_DNA	2103_V6_D29_PowerFecal_DNA	2103_V6_D29_R1	2103_V6_D29_R2	2202_V2_D1_CTAB_DNA	2202_V2_D1_PowerFecal_DNA	2202_V2_D1_R1	2202_V2_D1_R2	2202_V5_D22_CTAB_DNA	2202_V5_D22_PowerFecal_DNA	2202_V5_D22_R1	2202_V5_D22_R2	3204_V2_D1_CTAB_DNA	3204_V2_D1_PowerFecal_DNA	3204_V2_D1_R1	3204_V2_D1_R2	3204_V6_D29_CTAB_DNA	3204_V6_D29_PowerFecal_DNA	3204_V6_D29_R1	3204_V6_D29_R2	3216_V2_D1_CTAB_DNA	3216_V2_D1_PowerFecal_DNA	3216_V2_D1_R1	3216_V2_D1_R2	3216_V6_D29_CTAB_DNA	3216_V6_D29_PowerFecal_DNA	3216_V6_D29_R1	3216_V6_D29_R2	3218_V2_D1_CTAB_DNA	3218_V2_D1_PowerFecal_DNA	3218_V2_D1_R1	3218_V2_D1_R2	3218_V6_D29_CTAB_DNA	3218_V6_D29_PowerFecal_DNA	3218_V6_D29_R1	3218_V6_D29_R2
5	0.1.8.5.1.1	Acidaminococcaceae	4	5491	265	574	687	941	121	564	339	206	36	6	13	33	14	11	35	44	0	0	1	0	1	0	1	0	22	128	275	148	3	164	61	202	65	101	206	136	3	10	24	40	0	1	1	0	0	1	1	0
5	0.1.8.5.2.1	Negativicutes unclassified	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.5.3.1	Selenomonadaceae	3	40111	3943	8207	9700	11890	819	2007	2046	1369	2	0	7	0	2	0	2	4	2	2	2	1	0	2	0	2	0	0	2	7	1	1	3	1	2	4	2	0	3	2	2	2	1	4	2	2	1	6	1	2
5	0.1.8.5.3.2	Sporomusaceae	6	67	1	3	1	1	0	1	0	0	0	1	0	1	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	2	0	3	0	0	11	17	7	1	2	6
5	0.1.8.5.4.1	Veillonellaceae	7	46288	1291	821	3308	4621	208	197	1585	1186	305	265	226	442	72	338	98	109	6	29	12	8	32	292	99	56	23	34	274	183	194	71	197	410	92	110	83	62	6	10	8	12	108	96	172	125	74	65	191	62
5	0.1.8.6.1.1	Gottschalkiaceae	1	19	0	0	0	0	1	0	0	1	4	0	3	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
5	0.1.8.6.1.2	Peptoniphilaceae	8	378	2	4	3	6	2	6	14	20	2	0	1	1	1	2	1	1	13	8	10	45	40	8	13	34	13	12	24	19	21	1	2	6	1	4	2	3	0	6	10	6	0	1	2	1	1	2	0	3
5	0.1.8.6.1.3	Tissierellaceae	2	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	1
5	0.1.8.6.1.4	Tissierellales unclassified	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5	0.1.8.6.1.5	Unknown	1	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.8.6.2.1	Tissierellia unclassified	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	0.1.8.6.3.1	Unknown	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	3
5	0.1.9.1.1.1	Fusobacteriaceae	1	33592	1	2	1	1	1	4	0	3	13	3	3	13	0	3	2	1	4	0	2	1	1	2	0	1	2	1	3	1	5	1	3	0	0	1	7	1	2	0	2	2	4	0	1	0	1	4	1	3
5	0.1.9.1.1.2	Leptotrichiaceae	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.10.1.1.1	Lentisphaeraceae	1	8	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.11.1.1.1	Caulobacteraceae	2	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5	0.1.11.1.2.1	Brucellaceae	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.11.1.2.2	Rhizobiaceae	2	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.11.1.3.1	Acetobacteraceae	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
